"","Locus01","Locus02","Locus03","Locus04","Locus05"
"Observed frequency",-0.00710227272727273,0.046875,0.0028125,-0.0317982456140351,-0.00570913461538462
"Median frequency",-0.0124989666005291,0.0357572115384615,-0.00390769515353311,-0.0367324561403509,-0.011497641509434
"2.5th percentile",-0.0940391446887785,-0.042249503968254,-0.074960426879085,-0.0904305015282023,-0.111536620948558
"97.5th percentile",0.0759957107843137,0.140340169270833,0.0997080045681063,0.0272007761437908,0.110043010305851
