"","Hs","Ht","Gst","Gprime_st","D"
"Locus01",0.746057513914657,0.720079193293479,-0.0360770327251907,-0.191729315860894,-0.136400022549185
"Locus02",0.682050092764378,0.676878263931835,-0.0076407075069911,-0.0321233718870478,-0.0216882333342337
"Locus03",0.588023088023088,0.581612253487253,-0.0110225231628052,-0.03580514946796,-0.0207482000389182
"Locus04",0.727453102453102,0.741493869749078,0.0189357833810912,0.092055162767336,0.068689180577003
"Locus05",0.634121830550402,0.627859161341304,-0.00997464016566831,-0.0364708478367514,-0.0228224209842634
